frequency,accel_z
240,0.665205
240,-0.416351
240,0.631705
240,-0.641276
240,0.133998
240,0.320638
240,0.047856
240,0.588634
240,-0.239282
240,0.234497
240,0.354138
240,-0.004786
240,0.540778
240,-0.023928
240,0.445065
240,-0.066999
250,0.33021
250,-0.177069
250,0.038285
250,-0.306281
250,0.468993
250,-0.468993
250,0.765703
250,-0.363709
250,0.770489
250,-0.29671
250,0.66999
250,-0.421137
250,-0.473779
250,0.70349
250,-0.842273
250,0.736989
250,-0.947558
260,0.827917
260,-0.837488
260,0.770489
260,-0.535992
260,0.875773
260,-0.224925
260,0.684347
260,-0.468993
260,0.531207
260,-0.349352
260,0.435494
260,-0.502493
260,0.258425
260,-0.229711
260,0.344566
260,-0.306281
260,0.081356
260,0.363709
260,0.473779
260,-0.081356
270,-0.588634
270,0.239282
270,-0.129212
270,0.741775
270,-0.689133
270,0.727418
270,-0.100499
270,0.526421
270,-1.124627
270,0.344566
280,0.057428
280,0.579063
280,-0.478565
280,0.392423
280,0.40678
280,0.019143
280,-0.339781
280,0.923629
280,-0.196211
280,0.425922
280,-0.746561
280,0.468993
280,-0.047856
280,0.440279
280,-0.004786
280,-0.277567
290,0.37328
290,-0.301496
290,0.650848
290,-0.870987
290,0.401994
290,-0.416351
290,0.574277
290,-0.090927
290,-0.138784
290,0.239282
290,0.009571
290,1.172483
290,-1.028914
290,0.07657
290,0.70349
290,-0.478565
290,-0.172283
290,0.215354
290,0.760918
290,-0.904487
300,0.555135
300,0.492921
300,-0.363709
300,0.492921
300,0.052642
300,0.588634
300,-0.904487
300,0.315853
300,0.512064
300,0.689133
300,-0.464208
300,0.26321
300,0.70349
300,-0.722632
300,0.550349
300,-0.468993
300,-0.047856
310,0.411566
310,-0.215354
310,0.468993
310,-0.291924
310,0.392423
310,0.153141
310,-0.282353
310,0.378066
310,-0.086142
310,0.837488
310,-0.081356
310,-0.138784
310,-0.440279
310,0.043071
320,0.81356
320,-0.679562
320,0.985843
320,0.985843
320,-1.024128
320,1.134198
320,0.325424
320,-0.770489
320,0.129212
320,0.234497
320,-0.354138
320,-0.401994
320,0.057428
320,0.655633
320,-1.143769
320,0.914058
320,0.727418
320,-0.899701
320,-0.009571
320,0.574277
320,-0.674776
320,0.646062
320,0.066999
320,-0.665205
320,0.866202
320,-0.574277
320,0.306281
320,0.33021
320,-0.014357
330,-0.043071
330,0.62692
330,-0.579063
330,0.569492
330,0.066999
330,-0.622134
330,0.985843
330,-0.660419
330,0.325424
330,0.081356
330,-0.569492
330,0.746561
330,-0.119641
330,-0.545563
330,0.85663
330,0.062213
330,-0.51685
330,0.851845
330,-0.382852
330,-0.22014
330,0.784846
330,-0.636491
330,0.023928
330,0.818345
330,-0.507278
330,0.043071
330,0.421137
330,-0.239282
330,-0.0335
330,-0.153141
330,0.535992
330,-0.378066
330,-0.162712
330,0.914058
330,-0.387637
330,-0.468993
330,1.004986
330,-0.320638
330,-0.478565
330,0.741775
330,0.291924
330,-0.602991
330,0.512064
330,0.291924
330,-0.535992
330,0.526421
330,0.59342
330,-0.588634
330,0.37328
330,1.229911
330,-0.043071
330,-1.052842
330,0.464208
330,1.18684
330,0.0335
330,-0.631705
330,0.445065
330,0.29671
330,-0.277567
330,0.851845
330,0.157926
330,-0.904487
330,0.26321
330,0.933201
330,-0.090927
330,-0.320638
330,0.784846
330,-0.114855
330,-0.153141
330,0.224925
330,-0.07657
330,0.181855
330,0.114855
330,-0.205783
330,0.148355
330,0.066999
330,-0.019143
330,0.157926
330,0.004786
330,0.071785
330,0.043071
330,0.009571
330,0.239282
330,0.047856
330,0.014357
