frequency,accel_z
270,0.277567
270,-0.851845
270,0.095713
270,-0.043071
270,-0.732204
270,0.464208
270,-0.736989
270,0.368495
270,-0.430708
270,-0.095713
270,0.133998
270,-0.717847
270,0.574277
270,-0.909273
280,0.478565
280,-0.449851
280,-0.0335
280,0.282353
280,-0.612563
280,0.435494
280,-0.847059
280,0.401994
280,-0.861416
280,0.40678
280,-0.464208
280,-0.277567
280,0.430708
280,-0.823131
280,0.564706
280,-0.392423
280,-0.071785
280,0.334995
280,-0.756132
290,0.564706
290,-0.602991
290,-0.009571
290,0.191426
290,-0.794417
290,0.512064
290,-0.698704
290,0.177069
290,-0.114855
290,0.559921
290,-0.823131
290,0.277567
290,0.057428
290,-0.770489
290,0.320638
290,-0.526421
290,-0.095713
290,0.047856
300,-0.789632
300,0.512064
300,-0.368495
300,-0.291924
300,0.430708
300,-0.660419
300,0.354138
300,-0.334995
300,-0.488136
300,0.392423
300,-0.880559
300,-0.736989
300,0.191426
300,-0.038285
300,-0.569492
300,0.574277
300,-0.382852
300,-0.574277
300,0.602991
310,-0.789632
310,-0.086142
310,0.277567
310,-0.894916
310,0.224925
310,-0.081356
310,-0.746561
310,0.363709
310,-0.459422
310,-0.660419
310,0.488136
310,-0.468993
310,0.59342
310,-0.416351
310,-0.507278
310,0.421137
310,-0.579063
310,-0.363709
320,0.51685
320,-0.684347
320,-0.11007
320,0.411566
320,-0.784846
320,0.057428
320,0.421137
320,-0.818345
320,0.133998
320,0.205783
320,-0.799203
320,0.287139
320,-0.019143
320,-0.751346
320,-0.894916
320,0.167498
320,0.459422
320,-0.808774
320,0.043071
330,0.550349
330,-0.736989
330,-0.320638
330,0.622134
330,-0.732204
330,-0.301496
330,0.468993
330,-0.464208
330,-0.650848
330,0.602991
330,-0.071785
330,-0.789632
330,0.607777
330,-0.148355
330,-0.708275
330,-0.210568
330,0.478565
330,-0.799203
330,-0.277567
330,0.660419
330,-0.401994
330,-0.957129
330,0.440279
330,0.057428
330,-0.851845
330,0.071785
330,0.421137
330,-0.646062
330,-0.320638
330,0.598206
330,-0.239282
330,-0.784846
330,0.540778
330,0.100499
330,-0.803988
330,-0.162712
330,-0.224925
330,-0.11007
330,-0.124427
330,-0.215354
330,-0.177069
330,-0.043071
330,-0.124427
330,-0.291924
330,-0.086142
330,-0.062213
330,-0.181855
330,-0.22014
330,-0.086142
330,-0.18664
330,-0.095713
330,-0.133998
